"x" "y" "z"
"141" 1.58 50.88 14.6799998474121
"142" 1.58 50.89 19.5039998626709
"143" 1.58 50.9 23.2399998474121
"144" 1.58 50.91 28.4159998321533
"145" 1.58 50.92 29.8499998092651
"146" 1.58 50.93 32.5280003356934
"147" 1.58 50.94 36.648000793457
"148" 1.58 50.95 42.2160003662109
"149" 1.58 50.96 43.7040005493164
"150" 1.58 50.97 44.1400005340576
"151" 1.58 50.98 42.5380004882812
"152" 1.58 50.99 42.4420001220703
"153" 1.58 51 43.2044000244141
"154" 1.58 51.01 42.2496002197266
"155" 1.58 51.02 44.0495000839233
"156" 1.58 51.03 41.9619993591309
"157" 1.58 51.04 40.0688000488281
"158" 1.58 51.05 39.3248002624512
"159" 1.58 51.06 37.7760000610352
"160" 1.58 51.07 38.3670000076294
"161" 1.58 51.08 40.7280001831055
"162" 1.58 51.09 44.9316003417969
"163" 1.58 51.1 47.2271998596191
"164" 1.58 51.11 45.5132002258301
"165" 1.58 51.12 45.1125
"166" 1.58 51.13 45.641199798584
"167" 1.58 51.14 48.2032000732422
"168" 1.58 51.15 49.1424000549316
"169" 1.58 51.16 49.4136000061035
"170" 1.58 51.17 49.8620002746582
"171" 1.58 51.18 49.6276000976562
"172" 1.58 51.19 49.6723999023437
"173" 1.58 51.2 46.184400100708
"174" 1.58 51.21 41.1775999450684
"175" 1.58 51.22 37.6314999580383
"176" 1.58 51.23 27.994400062561
"177" 1.58 51.24 14.5427999991179
"178" 1.58 51.25 5.96519996643066
"179" 1.58 51.26 10.7495999526978
"180" 1.58 51.27 14.9805000782013
"181" 1.58 51.28 18.5047999954224
"182" 1.58 51.29 19.0504000854492
"183" 1.58 51.3 17.4332000732422
"184" 1.58 51.31 16.7320000076294
"185" 1.58 51.32 16.0369999885559
"186" 1.58 51.33 15.8547999572754
"187" 1.58 51.34 15.3932000350952
"188" 1.58 51.35 14.9984000396729
"189" 1.58 51.36 14.9288000488281
"190" 1.58 51.37 16.3590000152588
"191" 1.58 51.38 16.9931999969482
"192" 1.58 51.39 16.1108000564575
"193" 1.58 51.4 15.0084000396729
"194" 1.58 51.41 15.1992000198364
"195" 1.58 51.42 16.0645000457764
"196" 1.58 51.43 18.8143998718262
"197" 1.58 51.44 18.9924000549316
"198" 1.58 51.45 19.747200088501
"199" 1.58 51.46 21.3580001831055
"200" 1.58 51.47 21.3635000228882
"201" 1.58 51.48 21.0675998687744
"202" 1.58 51.49 21.4528001403809
"203" 1.58 51.5 21.5296001434326
"204" 1.58 51.51 21.8648001861572
"205" 1.58 51.52 22.406999874115
"206" 1.58 51.53 23.5259999847412
"207" 1.58 51.54 24.0000001525879
"208" 1.58 51.55 24.7963999176025
"209" 1.58 51.56 25.0932000732422
"210" 1.58 51.57 23.1644999504089
"211" 1.58 51.58 11.4555999851227
"212" 1.58 51.59 3.38960000991821
"213" 1.58 51.6 6.65600000143051
"214" 1.58 51.61 10.2071999359131
"215" 1.58 51.62 10.0799999237061
"216" 1.58 51.63 8.91199995040894
"217" 1.58 51.64 13.4792000579834
"218" 1.58 51.65 19.0047999954224
"219" 1.58 51.66 18.8560001373291
"220" 1.58 51.67 18.6005002975464
"221" 1.58 51.68 17.4875998687744
"222" 1.58 51.69 16.5876000213623
"223" 1.58 51.7 17.5488000488281
"224" 1.58 51.71 20.0627998352051
"225" 1.58 51.72 16.6400000572205
"226" 1.58 51.73 8.17719999313355
"227" 1.58 51.74 6.76120000839233
"228" 1.58 51.75 6.43959995269775
"229" 1.58 51.76 6.30720000267029
"230" 1.58 51.77 7.03400005102158
"231" 1.58 51.78 15.7571999549866
"232" 1.58 51.79 16.9784002304077
"233" 1.58 51.8 16.2647999572754
"234" 1.58 51.81 17.7544000244141
"235" 1.58 51.82 16.3744999408722
"236" 1.58 51.83 15.8595999908447
"237" 1.58 51.84 17.407200012207
"238" 1.58 51.85 19.4768001556396
"239" 1.58 51.86 20.5631998443604
"240" 1.58 51.87 17.9144999504089
"241" 1.58 51.88 17.3908000946045
"242" 1.58 51.89 14.1443999862671
"243" 1.58 51.9 11.1496000385284
"244" 1.58 51.91 7.01680004119873
"245" 1.58 51.92 9.62399995326996
"246" 1.58 51.93 11.6904000854492
"247" 1.58 51.94 14.5820000457764
"248" 1.58 51.95 14.7580000305176
"249" 1.58 51.96 15.0320000457764
"250" 1.58 51.97 15.6500000476837
"251" 1.58 51.98 16.660000038147
"252" 1.58 51.99 13.9548000335693
"253" 1.58 52 15.310000038147
"254" 1.58 52.01 12.3899999237061
