"Deployment_fk"	"Time"	"Species"	"Milliseconds"	"Number_clicks_filtered"	"Number_clicks_total"	"Lost_minutes"	"Recorded"	"Dpm"	"Dp10m"	"Station"	"Latitude"	"Longitude"	"Mooring_type"	"Receiver"
2578	2016-01-02 08:00:00	"NBHF"	13326	318	3693	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 09:00:00	"NBHF"	3195	36	1742	0	60	2	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 10:00:00	"NBHF"	12113	400	3223	0	60	4	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 11:00:00	"NBHF"	1422	21	1715	0	60	2	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 12:00:00	"NBHF"	23726	452	4503	0	60	17	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 13:00:00	"NBHF"	0	0	1338	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 14:00:00	"NBHF"	15388	179	4694	0	60	10	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 15:00:00	"NBHF"	24909	600	5579	0	60	9	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 16:00:00	"NBHF"	768	6	22714	3	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 17:00:00	"NBHF"	7325	74	1301	0	60	5	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 18:00:00	"NBHF"	3390	122	3274	0	60	7	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 19:00:00	"NBHF"	87988	4367	21729	0	60	33	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 20:00:00	"NBHF"	14876	257	2049	0	60	5	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 21:00:00	"NBHF"	62627	1666	10246	0	60	15	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 22:00:00	"NBHF"	30312	587	5267	0	60	11	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-02 23:00:00	"NBHF"	28208	612	5007	0	60	19	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 00:00:00	"NBHF"	24836	722	7379	0	60	14	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 01:00:00	"NBHF"	90352	2285	15681	0	60	38	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 02:00:00	"NBHF"	32316	1042	6671	0	60	15	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 03:00:00	"NBHF"	0	0	6646	1	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 04:00:00	"NBHF"	3419	156	3608	0	60	11	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 05:00:00	"NBHF"	849	6	1389	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 06:00:00	"NBHF"	15316	187	2144	0	60	3	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 07:00:00	"NBHF"	551	76	1284	0	60	2	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 08:00:00	"NBHF"	0	0	781	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 09:00:00	"NBHF"	411	16	2505	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 10:00:00	"NBHF"	18328	435	3605	0	60	10	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 11:00:00	"NBHF"	33322	796	5802	0	60	20	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 12:00:00	"NBHF"	198	14	1272	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 13:00:00	"NBHF"	2662	133	1479	0	60	4	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 14:00:00	"NBHF"	9758	76	2298	0	60	8	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 15:00:00	"NBHF"	10764	162	4131	0	60	3	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 16:00:00	"NBHF"	14967	1489	8126	0	60	30	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 17:00:00	"NBHF"	0	0	1801	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 18:00:00	"NBHF"	4794	84	2745	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 19:00:00	"NBHF"	2613	25	1492	0	60	2	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 20:00:00	"NBHF"	0	0	1020	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 21:00:00	"NBHF"	78576	3118	16195	0	60	42	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 22:00:00	"NBHF"	97695	4158	22883	0	60	48	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-03 23:00:00	"NBHF"	67695	1885	14834	0	60	22	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 00:00:00	"NBHF"	83688	2612	22318	0	60	36	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 01:00:00	"NBHF"	36822	2102	13702	0	60	48	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 02:00:00	"NBHF"	68969	2589	19847	0	60	46	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 03:00:00	"NBHF"	70105	3170	20557	0	60	50	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 04:00:00	"NBHF"	24119	1160	11395	0	60	18	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 05:00:00	"NBHF"	6632	115	2644	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 06:00:00	"NBHF"	663	38	1617	0	60	3	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 07:00:00	"NBHF"	6491	107	1966	0	60	5	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 08:00:00	"NBHF"	24773	991	7584	0	60	19	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 09:00:00	"NBHF"	38661	1328	12026	0	60	18	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 10:00:00	"NBHF"	13628	834	6258	0	60	14	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 11:00:00	"NBHF"	44350	1523	10144	0	60	9	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 12:00:00	"NBHF"	1216	17	2493	0	60	3	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 13:00:00	"NBHF"	5307	446	5679	0	60	15	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 14:00:00	"NBHF"	6253	97	2923	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 15:00:00	"NBHF"	0	0	1273	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 16:00:00	"NBHF"	14061	454	5506	0	60	11	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 17:00:00	"NBHF"	20789	1280	14191	0	60	30	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 18:00:00	"NBHF"	9526	188	4202	0	60	7	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 19:00:00	"NBHF"	7521	467	3527	0	60	14	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 20:00:00	"NBHF"	27715	1167	7690	0	60	9	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 21:00:00	"NBHF"	5032	404	3138	0	60	16	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 22:00:00	"NBHF"	15753	199	2515	0	60	4	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-04 23:00:00	"NBHF"	90798	3815	27723	0	60	45	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 00:00:00	"NBHF"	29589	874	8127	0	60	20	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 01:00:00	"NBHF"	39205	1884	10386	0	60	30	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 02:00:00	"NBHF"	62810	1581	18566	0	60	38	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 03:00:00	"NBHF"	21101	780	7671	0	60	12	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 04:00:00	"NBHF"	65871	3137	27275	0	60	34	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 05:00:00	"NBHF"	29525	755	7916	0	60	17	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 06:00:00	"NBHF"	24479	699	7850	0	60	24	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
